participant_id	TOWRE_SW_Raw	TOWRE_SW_StS	TOWRE_PD_Raw	TOWRE_PD_StS	TOWRE_Total_StS
sub-002	66	108	26	96	102
sub-003	79	123	45	114	122
sub-004	74	118	41	114	119
sub-005	81	113	48	113	116
sub-006	72	122	33	110	119
sub-007	78	113	45	114	116
sub-008	76	98	42	100	99
sub-009	74	124	37	115	123
sub-010	74	109	42	110	111
sub-011	76	120	42	115	121
sub-012	94	122	51	114	122
sub-013	99	123	51	110	120
sub-015	80	112	39	100	107
sub-016	84	112	55	121	120
sub-017	77	121	30	100	113
sub-019	73	107	45	114	113
sub-020	81	116	54	130	128
sub-021	89	133	50	129	137
sub-023	82	114	50	115	117
sub-024	74	118	45	120	123
sub-025	81	113	51	117	118
sub-029	69	111	37	109	112
sub-030	76	104	53	122	116
sub-031	77	106	42	105	107
sub-034	81	125	38	110	121
sub-035	78	113	44	113	116
sub-036	72	115	38	110	115
sub-038	101	126	56	117	126
sub-039	70	90	22	78	81
sub-040	80	98	48	104	101
sub-041	71	121	36	114	121
sub-043	93	116	38	99	109
sub-044	93	125	56	128	132
sub-045	61	101	15	86	92
sub-047	72	105	39	105	106
sub-048	83	118	41	108	116
sub-049	92	128	54	87	109
sub-052	66	90	10	70	76
sub-054	68	89	37	92	89
sub-055	60	90	29	91	89
sub-056	65	95	27	92	92
sub-057	69	111	23	94	103
sub-059	79	103	48	110	108
sub-060	67	96	30	95	95
sub-061	70	96	27	89	91
sub-062	94	122	48	110	119
sub-063	81	116	32	97	108
sub-064	45	86	29	99	91
sub-066	64	105	25	96	101
sub-067	66	87	24	80	80
sub-070	80	105	58	127	119
sub-071	58	106	27	103	105
sub-073	74	118	39	111	117
sub-075	81	99	45	100	99
sub-078	61	90	15	78	81
sub-080	61	101	22	93	96
